pair,starttime,endtime,interval,0.01,0.02,start,end
psg/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",83403,18678,2023-01-09 07:05:49,2023-01-09 11:25:27
mir/usdt,2021-04-19 11:00:00,2022-12-27 02:59:00,"616 days, 15:59:00",58609,18660,2023-01-09 07:34:42,2023-01-09 11:12:41
chr/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",123916,18638,2023-01-09 08:26:44,2023-01-09 13:21:43
one/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",123289,18485,2023-01-09 08:34:40,2023-01-09 13:27:39
luna/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",94262,18446,2023-01-09 10:56:07,2023-01-09 16:24:29
mft/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",108228,18408,2023-01-09 11:12:41,2023-01-09 16:06:44
matic/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",120267,18257,2023-01-09 11:25:27,2023-01-09 16:19:28
data/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",94019,18235,2023-01-09 13:21:43,
nmr/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",65414,18020,2023-01-09 13:27:39,
stmx/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",109078,17995,2023-01-09 16:06:44,
fis/usdt,2021-03-03 08:00:00,2023-01-01 00:00:00,"668 days, 16:00:00",77297,17971,2023-01-09 16:19:28,
pnt/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",96451,17969,2023-01-09 16:24:29,
celr/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",136363,17827,,
perl/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",101265,17717,,
lto/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",96552,17556,,
super/usdt,2021-03-25 10:00:00,2023-01-01 00:00:00,"646 days, 14:00:00",116002,17518,,
ogn/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",119195,17480,,
lazio/usdt,2021-10-21 12:00:00,2023-01-01 00:00:00,"436 days, 12:00:00",65576,17302,,
ong/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",76537,17291,,
win/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",103080,17151,,
nbs/usdt,2021-01-01 00:00:00,2022-10-24 08:59:00,"661 days, 8:59:00",75155,17142,,
aion/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",93549,17091,,
tru/usdt,2021-01-19 07:00:00,2023-01-01 00:00:00,"711 days, 17:00:00",82599,17069,,
