pair,starttime,endtime,interval,0.01,0.02,start,end
luna/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",94262,18446,2023-01-10 02:10:31,2023-01-10 06:25:01
mft/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",108228,18408,2023-01-10 02:50:51,2023-01-10 06:44:15
matic/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",120267,18257,2023-01-10 03:05:05,2023-01-10 06:59:21
data/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",94019,18235,2023-01-10 04:37:15,2023-01-10 08:31:00
nmr/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",65414,18020,2023-01-10 04:56:49,2023-01-10 08:41:20
stmx/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",109078,17995,2023-01-10 06:26:27,2023-01-10 10:10:57
fis/usdt,2021-03-03 08:00:00,2023-01-01 00:00:00,"668 days, 16:00:00",77297,17971,2023-01-10 06:46:20,2023-01-10 09:47:02
pnt/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",96451,17969,2023-01-10 07:01:08,2023-01-10 10:46:04
celr/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",136363,17827,2023-01-10 08:32:39,2023-01-10 12:25:18
perl/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",101265,17717,2023-01-10 08:43:06,2023-01-10 12:32:35
lto/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",96552,17556,2023-01-10 09:48:28,2023-01-10 13:38:12
super/usdt,2021-03-25 10:00:00,2023-01-01 00:00:00,"646 days, 14:00:00",116002,17518,2023-01-10 10:12:53,2023-01-10 13:10:48
ogn/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",119195,17480,2023-01-10 10:47:49,2023-01-10 14:42:00
lazio/usdt,2021-10-21 12:00:00,2023-01-01 00:00:00,"436 days, 12:00:00",65576,17302,2023-01-10 12:27:16,2023-01-10 14:33:32
ong/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",76537,17291,2023-01-10 12:34:22,2023-01-10 16:14:50
win/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",103080,17151,2023-01-10 13:12:16,2023-01-10 16:56:31
nbs/usdt,2021-01-01 00:00:00,2022-10-24 08:59:00,"661 days, 8:59:00",75155,17142,2023-01-10 13:39:57,2023-01-10 17:07:39
aion/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",93549,17091,2023-01-10 14:34:14,2023-01-10 18:17:13
tru/usdt,2021-01-19 07:00:00,2023-01-01 00:00:00,"711 days, 17:00:00",82599,17069,2023-01-10 14:43:49,2023-01-10 18:00:23
nuls/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",81729,17010,2023-01-10 16:16:41,2023-01-10 19:56:40
beam/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",92766,16912,2023-01-10 16:58:11,2023-01-10 20:39:01
pond/usdt,2021-03-09 08:00:00,2023-01-01 00:00:00,"662 days, 16:00:00",88360,16907,2023-01-10 17:09:08,2023-01-10 20:09:01
sand/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",126873,16883,2023-01-10 18:01:45,2023-01-10 21:45:37
unfi/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",103349,16717,2023-01-10 18:18:58,2023-01-10 21:54:20
lit/usdt,2021-02-04 06:00:00,2023-01-01 00:00:00,"695 days, 18:00:00",100836,16674,2023-01-10 19:58:26,2023-01-10 22:54:34
fio/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",68459,16671,2023-01-10 20:10:24,2023-01-10 23:46:07
santos/usdt,2021-12-01 11:00:00,2023-01-01 00:00:00,"395 days, 13:00:00",55738,16444,2023-01-10 20:40:48,2023-01-10 22:31:35
nano/usdt,2021-01-01 00:00:00,2022-01-24 03:59:00,"388 days, 3:59:00",79945,16429,2023-01-10 21:47:12,2023-01-10 23:59:46
wtc/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",92622,16361,2023-01-10 21:55:59,2023-01-11 01:38:21
idex/usdt,2021-09-09 08:00:00,2023-01-01 00:00:00,"478 days, 16:00:00",60514,16180,2023-01-10 22:32:11,2023-01-11 00:41:07
fet/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",142640,15785,2023-01-10 22:56:02,2023-01-11 02:39:58
iotx/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",87682,15785,2023-01-10 23:47:49,2023-01-11 03:31:18
chz/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",104487,15626,2023-01-11 00:00:29,2023-01-11 03:39:23
cos/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",97252,15577,2023-01-11 00:41:52,2023-01-11 04:24:18
shib/usdt,2021-05-10 11:00:00,2023-01-01 00:00:00,"600 days, 13:00:00",77918,15373,2023-01-11 01:39:58,2023-01-11 04:17:52
om/usdt,2021-03-08 09:00:00,2023-01-01 00:00:00,"663 days, 15:00:00",62999,15320,2023-01-11 02:41:33,2023-01-11 05:34:46
dexe/usdt,2021-07-23 10:00:00,2023-01-01 00:00:00,"526 days, 14:00:00",48696,15302,2023-01-11 03:32:48,2023-01-11 05:44:07
req/usdt,2021-08-20 10:00:00,2023-01-01 00:00:00,"498 days, 14:00:00",47569,15199,2023-01-11 03:41:04,2023-01-11 05:54:54
tfuel/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",97847,15000,2023-01-11 04:19:03,2023-01-11 07:59:57
mtl/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",82644,14957,2023-01-11 04:25:58,2023-01-11 08:03:10
iris/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",91108,14769,2023-01-11 05:36:08,2023-01-11 09:16:04
akro/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",87271,14757,2023-01-11 05:45:02,2023-01-11 09:13:36
reef/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",106860,14607,2023-01-11 05:55:48,2023-01-11 09:00:11
mana/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",101949,14604,2023-01-11 08:01:39,2023-01-11 11:41:53
utk/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",100746,14511,2023-01-11 08:04:57,2023-01-11 11:43:52
bar/usdt,2021-04-21 11:00:00,2023-01-01 00:00:00,"619 days, 13:00:00",57980,14048,2023-01-11 09:01:45,2023-01-11 11:38:35
celo/usdt,2021-01-05 08:30:00,2023-01-01 00:00:00,"725 days, 15:30:00",74522,13745,2023-01-11 09:15:23,2023-01-11 12:29:19
beta/usdt,2021-10-08 12:00:00,2023-01-01 00:00:00,"449 days, 12:00:00",63909,13653,2023-01-11 09:17:49,2023-01-11 11:15:54
hard/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",64425,13611,2023-01-11 11:16:39,2023-01-11 14:47:37
storj/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",80914,13559,2023-01-11 11:39:52,2023-01-11 15:14:53
coti/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",121365,13537,2023-01-11 11:43:37,2023-01-11 15:23:03
uma/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",64375,13422,2023-01-11 11:45:31,2023-01-11 15:21:50
spell/usdt,2021-12-24 08:00:00,2023-01-01 00:00:00,"372 days, 16:00:00",62189,13417,2023-01-11 12:30:40,2023-01-11 14:10:39
jasmy/usdt,2021-11-22 12:00:00,2023-01-01 00:00:00,"404 days, 12:00:00",118668,13374,2023-01-11 14:11:13,2023-01-11 15:59:55
dock/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",78953,13351,2023-01-11 14:49:18,2023-01-11 18:25:30
enj/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",104504,13321,2023-01-11 15:16:34,2023-01-11 18:56:14
kmd/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",65453,13288,2023-01-11 15:24:53,2023-01-11 19:01:48
axs/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",116632,13213,2023-01-11 16:00:32,2023-01-11 19:33:08
bond/usdt,2021-07-05 06:00:00,2023-01-01 00:00:00,"544 days, 18:00:00",43668,13164,2023-01-11 18:27:18,2023-01-11 20:51:02
sfp/usdt,2021-02-08 13:00:00,2023-01-01 00:00:00,"691 days, 11:00:00",77898,12994,2023-01-11 18:57:51,2023-01-11 21:59:14
ardr/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",68725,12990,2023-01-11 19:00:16,2023-01-11 22:34:35
rvn/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",77748,12890,2023-01-11 19:03:33,2023-01-11 22:44:11
firo/usdt,2021-01-29 02:00:00,2023-01-01 00:00:00,"701 days, 22:00:00",58850,12853,2023-01-11 19:34:50,2023-01-11 22:35:52
ankr/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",86503,12834,2023-01-11 20:52:01,2023-01-12 00:26:15
hbar/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",91763,12834,2023-01-11 22:00:44,2023-01-12 01:35:03
tko/usdt,2021-04-07 13:00:00,2023-01-01 00:00:00,"633 days, 11:00:00",73169,12834,2023-01-11 22:37:21,2023-01-12 01:15:26
loka/usdt,2022-01-20 12:00:00,2023-01-01 00:00:00,"345 days, 12:00:00",54042,12827,2023-01-11 22:45:53,2023-01-12 00:12:43
dia/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",101136,12787,2023-01-12 00:13:14,2023-01-12 03:48:05
lsk/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",72051,12762,2023-01-12 00:27:58,2023-01-12 03:57:35
rose/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",98155,12753,2023-01-12 01:13:41,2023-01-12 04:42:40
ckb/usdt,2021-01-26 12:00:00,2023-01-01 00:00:00,"704 days, 12:00:00",77794,12735,2023-01-12 01:16:47,2023-01-12 04:16:40
lrc/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",88086,12715,2023-01-12 01:36:50,2023-01-12 05:14:32
blz/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",96127,12693,2023-01-12 03:49:52,2023-01-12 07:25:53
porto/usdt,2021-11-16 12:00:00,2023-01-01 00:00:00,"410 days, 12:00:00",50018,12521,2023-01-12 03:59:22,2023-01-12 05:48:07
rlc/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",84540,12487,2023-01-12 04:18:15,2023-01-12 07:53:34
torn/usdt,2021-06-11 06:00:00,2022-12-27 02:59:00,"563 days, 20:59:00",52063,12437,2023-01-12 04:44:19,2023-01-12 07:11:53
ramp/usdt,2021-03-22 09:00:00,2022-07-04 03:59:00,"468 days, 18:59:00",60825,12434,2023-01-12 05:16:22,2023-01-12 07:14:16
yfii/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",66696,12434,2023-01-12 05:48:47,2023-01-12 09:21:04
twt/usdt,2021-01-27 08:00:00,2023-01-01 00:00:00,"703 days, 16:00:00",89302,12271,2023-01-12 07:12:59,2023-01-12 10:18:22
ooki/usdt,2021-12-24 04:00:00,2023-01-01 00:00:00,"372 days, 20:00:00",44112,12225,2023-01-12 07:15:06,2023-01-12 08:46:56
ern/usdt,2021-06-22 06:00:00,2023-01-01 00:00:00,"557 days, 18:00:00",53155,12184,2023-01-12 07:27:43,2023-01-12 09:51:53
oxt/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",58584,12182,2023-01-12 07:55:22,2023-01-12 11:31:48
alice/usdt,2021-03-15 06:00:00,2023-01-01 00:00:00,"656 days, 18:00:00",117706,12047,2023-01-12 08:47:31,2023-01-12 11:35:00
btt/usdt,2021-01-01 00:00:00,2022-01-17 03:59:00,"381 days, 3:59:00",68618,12041,2023-01-12 09:22:52,2023-01-12 11:24:39
alpha/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",103022,11978,2023-01-12 09:52:52,2023-01-12 13:25:38
audio/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",90679,11969,2023-01-12 10:19:46,2023-01-12 13:53:07
srm/usdt,2021-01-01 00:00:00,2022-11-28 02:59:00,"696 days, 2:59:00",83287,11968,2023-01-12 11:25:24,2023-01-12 14:48:32
strax/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",77856,11957,2023-01-12 11:33:38,2023-01-12 14:57:51
rep/usdt,2021-01-01 00:00:00,2022-12-22 08:59:00,"720 days, 8:59:00",61258,11947,2023-01-12 11:36:25,2023-01-12 15:05:58
mask/usdt,2021-05-25 06:00:00,2023-01-01 00:00:00,"585 days, 18:00:00",71350,11881,2023-01-12 13:27:30,2023-01-12 16:00:46
sc/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",81853,11845,2023-01-12 13:54:58,2023-01-12 17:30:21
iost/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",77523,11786,2023-01-12 14:50:20,2023-01-12 18:24:01
rad/usdt,2021-10-07 07:00:00,2023-01-01 00:00:00,"450 days, 17:00:00",39511,11714,2023-01-12 14:59:34,2023-01-12 16:56:16
rare/usdt,2021-10-11 06:00:00,2023-01-01 00:00:00,"446 days, 18:00:00",46800,11637,2023-01-12 15:07:51,2023-01-12 17:02:13
alpine/usdt,2022-02-21 12:00:00,2023-01-01 00:00:00,"313 days, 12:00:00",43315,11586,2023-01-12 16:01:58,2023-01-12 17:16:03
ata/usdt,2021-06-07 06:00:00,2023-01-01 00:00:00,"572 days, 18:00:00",58095,11578,2023-01-12 16:57:01,2023-01-12 19:24:21
pundix/usdt,2021-04-09 04:00:00,2023-01-01 00:00:00,"631 days, 20:00:00",51827,11545,2023-01-12 17:02:56,2023-01-12 19:46:15
wnxm/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",53576,11511,2023-01-12 17:16:30,2023-01-12 20:50:09
chess/usdt,2021-10-22 06:00:00,2023-01-01 00:00:00,"435 days, 18:00:00",40557,11477,2023-01-12 17:32:03,2023-01-12 19:19:15
nbt/usdt,2022-03-11 06:00:00,2023-01-01 00:00:00,"295 days, 18:00:00",29430,11438,2023-01-12 18:26:01,2023-01-12 19:28:37
orn/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",91167,11376,2023-01-12 19:20:02,2023-01-12 22:52:01
gala/usdt,2021-09-13 06:00:00,2023-01-01 00:00:00,"474 days, 18:00:00",61625,11284,2023-01-12 19:25:33,2023-01-12 21:22:53
npxs/usdt,2021-01-01 00:00:00,2021-04-05 04:22:00,"94 days, 4:22:00",45094,11264,2023-01-12 19:29:05,2023-01-12 20:15:39
inj/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",68391,11246,2023-01-12 19:47:36,2023-01-12 23:22:25
auto/usdt,2021-04-02 09:00:00,2023-01-01 00:00:00,"638 days, 15:00:00",57920,11233,2023-01-12 20:15:44,2023-01-12 22:54:35
sol/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",84723,11190,2023-01-12 20:51:56,2023-01-13 00:24:18
fun/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",50672,11150,2023-01-12 21:23:48,2023-01-13 00:53:57
cvc/usdt,2021-01-01 00:00:00,2022-12-09 02:59:00,"707 days, 2:59:00",66589,11136,2023-01-12 22:53:40,2023-01-13 02:15:40
ar/usdt,2021-05-14 12:00:00,2023-01-01 00:00:00,"596 days, 12:00:00",78479,11119,2023-01-12 22:55:56,2023-01-13 01:25:51
eps/usdt,2021-04-02 09:00:00,2022-05-09 03:59:00,"401 days, 18:59:00",89440,11101,2023-01-12 23:23:59,2023-01-13 01:01:52
zen/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",74284,11064,2023-01-13 00:26:06,2023-01-13 04:02:34
qi/usdt,2021-11-15 08:00:00,2023-01-01 00:00:00,"411 days, 16:00:00",62389,11042,2023-01-13 00:55:38,2023-01-13 02:40:10
farm/usdt,2021-08-11 08:00:00,2023-01-01 00:00:00,"507 days, 16:00:00",36783,11040,2023-01-13 01:02:34,2023-01-13 03:13:25
dar/usdt,2021-11-04 08:00:00,2023-01-01 00:00:00,"422 days, 16:00:00",55395,10939,2023-01-13 01:27:03,2023-01-13 03:12:47
trb/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",88303,10862,2023-01-13 02:17:11,2023-01-13 05:46:32
kp3r/usdt,2021-11-12 10:00:00,2023-01-01 00:00:00,"414 days, 14:00:00",51596,10848,2023-01-13 02:40:50,2023-01-13 04:20:47
pha/usdt,2021-06-25 10:00:00,2023-01-01 00:00:00,"554 days, 14:00:00",34742,10687,2023-01-13 03:14:16,2023-01-13 05:42:11
perp/usdt,2021-03-19 08:00:00,2023-01-01 00:00:00,"652 days, 16:00:00",59901,10597,2023-01-13 04:04:19,2023-01-13 06:57:18
gmt/usdt,2022-03-09 12:00:00,2023-01-01 00:00:00,"297 days, 12:00:00",51225,10581,2023-01-13 04:21:31,2023-01-13 05:24:58
arpa/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",80023,10481,2023-01-13 05:25:30,2023-01-13 09:07:46
dusk/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",73199,10474,2023-01-13 05:37:06,2023-01-13 09:10:27
flm/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",76114,10360,2023-01-13 05:43:17,2023-01-13 09:15:32
wan/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",68310,10287,2023-01-13 05:48:23,2023-01-13 09:21:09
cvp/usdt,2021-10-04 10:00:00,2023-01-01 00:00:00,"453 days, 14:00:00",31537,10096,2023-01-13 06:58:39,2023-01-13 08:54:09
sxp/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",86150,9996,2023-01-13 08:55:04,2023-01-13 12:11:54
rei/usdt,2022-05-04 04:00:00,2023-01-01 00:00:00,"241 days, 20:00:00",30050,9986,2023-01-15 07:22:56,2023-01-15 07:22:56
grt/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",80320,9982,2023-01-13 09:12:12,2023-01-13 12:02:37
bel/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",81921,9978,2023-01-13 09:17:31,2023-01-13 12:33:31
band/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",75282,9955,2023-01-13 09:22:55,2023-01-13 12:37:33
cfx/usdt,2021-03-29 11:00:00,2023-01-01 00:00:00,"642 days, 13:00:00",54859,9935,2023-01-13 12:04:26,2023-01-13 14:34:30
tvk/usdt,2021-08-06 10:00:00,2023-01-01 00:00:00,"512 days, 14:00:00",52045,9933,2023-01-13 12:13:41,2023-01-13 14:18:19
voxel/usdt,2021-12-14 12:00:00,2023-01-01 00:00:00,"382 days, 12:00:00",44732,9920,2023-01-13 12:35:24,2023-01-13 14:03:02
df/usdt,2021-09-24 10:00:00,2023-01-01 00:00:00,"463 days, 14:00:00",35438,9919,2023-01-13 12:39:24,2023-01-13 14:23:37
waves/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",79994,9749,2023-01-13 14:03:37,2023-01-13 17:23:31
dodo/usdt,2021-02-19 10:00:00,2023-01-01 00:00:00,"680 days, 14:00:00",76624,9748,2023-01-13 14:19:14,2023-01-13 16:58:04
people/usdt,2021-12-23 06:00:00,2023-01-01 00:00:00,"373 days, 18:00:00",67149,9722,2023-01-13 14:24:24,2023-01-13 15:50:19
