left
ADA
AGIX
ALGO
ANKR
APE
APT
ARB
ATOM
AVAX
AXS
BAND
BCH
BNB
BTC
BTT
BZRX
COMP
DAR
DASH
DOGE
DOT
DYDX
EDU
EGLD
ENJ
ETC
ETH
FIL
FTM
GALA
GMT
GRT
HFT
HOOK
ICP
ID
IOTA
JASMY
KAVA
KEEP
LINK
LRC
LTC
LUNC
MAGIC
MANA
MATIC
MAV
NANO
NEAR
OCEAN
ONE
RDNT
REN
ROSE
RVN
SAND
SNX
SOL
SUI
TRX
UNFI
UNI
VET
WAVES
WLD
XRP
YFI
ZIL
